bins,pi_medians,pi_90ci_upper,pi_90ci_lower
0.05,0.00016677929512853151,0.0009566084808600682,3.3068930239966975e-05
0.15000000000000002,0.00017770696169856483,0.004474686902412692,7.612945610987855e-06
0.25,0.025040186088349146,0.15966703902175644,0.0007032461703651702
0.35000000000000003,0.04395610711001821,0.2801730307450363,0.0025451495867007306
0.45,0.07899337676470411,0.39312370625093657,0.009940417343344892
0.55,0.18147710521663785,0.4903719120942125,0.01984480727411193
0.6500000000000001,0.16933912968975057,0.5382084383556063,0.01977372981861302
0.75,0.19550890611751465,0.6678281129818339,0.025418780799691395
0.8500000000000001,0.2789885842038377,0.8094254315175654,0.04126335140984098
0.95,0.33262966190534193,1.0292432612890268,0.050051316944371836
1.05,0.42183412945113347,1.2989522114025982,0.06583480688792318
1.1500000000000001,0.6285563675236199,1.8878852597273035,0.10024433700015634
1.25,0.6930914542161515,2.026357990257015,0.1051899241287636
1.35,0.730164904521921,1.9870004005913775,0.17187339477472363
1.4500000000000002,0.9073955487271905,2.390316588978693,0.20509253023408558
1.55,0.9458601559077825,2.7573242816501007,0.1404879198932968
1.6500000000000001,1.1980427294874973,3.119193978166929,0.4233882187000622
1.75,1.2621468020897542,3.053896396745659,0.5428010073632981
1.85,1.3588386672622117,3.419792881260519,0.8012756024411987
1.9500000000000002,1.5097936084823331,3.104988688436613,0.7410988034267799
