index,pix,piy
0,0.1380044848685215,4.5154516529018364e-05
1,0.14613927700702434,0.00018364054793936838
2,0.14764642779331316,0.0001935600117028944
3,0.1607000328026242,0.061831873278575464
4,0.19191022110357717,0.00023469823955878222
5,0.13680281480870787,2.3067769403110753e-05
6,0.21583971156824466,0.00924214772832383
7,0.6378584487833833,0.11726672059681965
8,0.7125243271082493,0.0759287792001662
9,0.7540668146304323,0.0004239414608697535
10,0.6712937911566366,0.3668033886389682
11,0.802898163207333,1.8899922052907374e-05
12,0.917030005037094,0.9875437923928393
13,0.24505582889462105,0.0002831876099714126
14,0.29046842293635056,0.4086096155568614
15,0.23520778056171426,0.0035875280154767076
16,0.3496035535769278,0.002395260154839279
17,0.1940674556713767,0.0003318113411280905
18,0.11797038603082037,0.000424857676398039
19,0.1297294091313787,0.00016720434536677002
20,0.11446688117310692,0.0006659408464319015
21,0.11205005179719188,9.406962299102428e-05
22,0.11254928187599748,0.0003355094760059074
23,0.11922297727221631,0.00031833779429609203
24,0.10739672487718244,4.3043491082718315e-05
25,0.11486586091437072,0.000331065390063133
26,0.11681720773116927,0.00034071773493062415
27,0.26334584118105814,0.25956550709914733
28,0.2000673841185516,0.026383083647590507
29,0.25869849714119975,0.7590226568721394
30,0.1931858312001615,0.2469658356260803
31,0.26701928288506044,0.09992151288428597
32,0.21357468854966674,0.16040521290274945
33,0.6309864389792175,0.16271692956281208
34,0.1967484413323688,0.026140742581632338
35,0.2802292915344268,0.245960508701174
36,0.38040181962351366,0.8877122265349268
37,0.19141429328886,0.0002097384788873234
38,0.6922437216921705,0.002640702695937844
39,0.13631775513433445,9.12214435879936e-07
40,0.127196553492845,1.1642725218070277e-08
41,0.12761551697391965,0.00012334299778364732
42,0.12218770297776231,0.00026141548051222395
43,0.1147511968298215,0.0003528946762237069
44,0.11117692365515763,0.0001471523997017444
45,0.1039426217002275,0.0006076225270369538
46,0.10655134728473664,0.00052038603364167
47,0.10921708964515994,0.0020965876800020126
48,0.11176509971335004,0.00039656033686137084
49,0.12553131874312085,0.0004863278614425793
50,0.12608260865537554,0.0009126688634078779
51,0.11756272181428586,0.002002995135599124
52,0.1477963834114036,5.401341968633701e-06
53,0.16233594732251128,0.0018347599286575099
54,0.18995268079963654,0.11782739075547133
55,0.33963627223191123,5.624411097497312
56,0.19316167811444215,0.02277502402086868
57,0.17899400364762838,0.0011116636987100626
58,0.4275729433523693,0.10295464082564432
59,0.8911053842587258,0.01471331392891349
60,0.27859945067520564,0.2402595970974765
61,0.2506242742228948,0.10467567056795717
62,0.14505507441246399,0.0008217169791217785
63,0.6277767730695385,2.128441128032597e-06
64,0.7238764034494224,0.09912565700408765
65,0.7633612173944154,0.1261796986103539
66,0.7810698785857023,0.05274889348057198
67,1.0173798050793097,1.1409634999728564
