bins,pi_medians,pi_90ci_upper,pi_90ci_lower
0.05,0.00016677929512853151,0.0023726334123770217,1.7236607981772436e-05
0.15000000000000002,0.00021413087947258036,0.020567404380385273,6.657694816977363e-06
0.25,0.029496786053315946,0.3050641888581225,0.0003082013095157071
0.35000000000000003,0.04893109935989498,0.6978322104557018,0.0005301932401144587
0.45,0.08545660819808447,0.46946208187933985,0.004881182297809632
0.55,0.1941281402919062,0.558313999153684,0.008884006455187157
0.6500000000000001,0.17996780112166383,0.6623705005545064,0.011431912127427916
0.75,0.20950329385040647,0.7867079798058384,0.017737097145863943
0.8500000000000001,0.30297234758598646,0.9619223050567896,0.024809158956919826
0.95,0.3713972084183956,1.2896452352124717,0.02411685210464548
1.05,0.453612593585526,1.7587802687090683,0.04791667202547755
1.1500000000000001,0.6718022120548275,2.710344833659794,0.08495872370561136
1.25,0.768078500426107,3.1115742204850623,0.09310984103005228
1.35,0.7981066759197004,3.027907250911263,0.15332599849184725
1.4500000000000002,0.9416015994932965,3.292306133324919,0.14668432281187782
1.55,1.0079133402632383,5.284296076176275,0.13246154167691943
1.6500000000000001,1.217903729718298,3.613045135434361,0.3932613772373718
1.75,1.4004567795700247,3.685225663865533,0.46463326598493204
1.85,1.3588386672622117,4.495900827056266,0.7491229401155138
1.9500000000000002,1.6371518877887785,4.424469897169653,0.7234998972773057
