bins,pi_medians,pi_90ci_upper,pi_90ci_lower
0.05,0.001667792951285315,0.023726334123770218,0.00017236607981772437
0.15000000000000002,0.0020889719569829055,0.14900140000771436,6.532717503398806e-05
0.25,0.2959998832807388,2.8503954251973673,0.0033172830308791307
0.35000000000000003,0.5117642200296955,6.858108976382941,0.007642919963013181
0.45,0.8923432427459204,4.7038087007811225,0.08389176064874518
0.55,2.264931176527136,5.685250520922544,0.1299799047703447
0.6500000000000001,2.229480685441879,6.49716962164133,0.17401413136405613
0.75,2.603457823997053,7.5368852974413825,0.4112341855733979
0.8500000000000001,3.5888882514743745,9.165265155454753,0.5855176014815382
0.95,4.2501706819832155,11.899035160606125,0.5862882450048383
1.05,5.22037118215297,15.097824673171552,0.7271879015557667
1.1500000000000001,6.110413372799798,18.75626894860456,1.0020206141077035
1.25,7.283403679974136,24.910540835079146,1.6944412658506656
1.35,7.241213267582343,23.89888896830815,1.4026736227707952
1.4500000000000002,10.071409928116243,24.720618529835438,2.3169321974140744
